pet_mm_s01,cly_pc_sav,cly_pc_uav,ari_ix_sav,TOT_TWI,TOT_PRSNOW,TOT_POPDENS90,TOT_EWT,TOT_RECHG,TOT_PPT7100_ANN,TOT_AET,TOT_PET,TOT_SILTAVE,TOT_BASIN_AREA,TOT_BASIN_SLOPE,TOT_ELEV_MEAN,TOT_ELEV_MAX,TOT_Intensity,TOT_Wet,TOT_Dry
13.0,7.0,8.0,94.0,12.71,25.94,12.75,-22.85,273.3,889.64,620.61,600.21,20.1,1050.86,2.62,255.58,387.38,8.68,2.96,5.12
28.0,21.0,20.0,89.0,11.8,11.79,14.31,-24.63,172.5,1135.78,796.73,730.41,43.12,1604.71,13.51,238.25,1215.68,11.18,2.73,5.35
28.0,25.0,25.0,89.0,12.31,8.23,12.47,-13.31,91.63,1124.74,712.85,798.48,42.48,717.01,5.4,360.33,468.21,13.71,2.69,6.24
56.0,14.0,18.0,116.0,12.49,0.0,11.25,-9.54,217.24,1660.03,1133.74,1008.84,36.94,1152.21,3.37,63.33,120.65,17.08,2.9,5.94
63.0,26.0,27.0,44.0,11.22,0.0,1.2,-22.83,32.87,819.01,1036.5,955.8,44.51,1008.75,18.1,600.08,738.28,16.26,2.68,11.58
16.0,18.0,18.0,82.0,11.03,25.58,13.24,-40.56,166.32,998.83,515.17,590.67,55.0,558.32,12.73,486.41,743.98,8.99,2.8,4.25
22.0,15.0,16.0,268.0,10.73,12.97,0.94,-27.95,1018.66,2833.67,457.11,563.33,47.66,526.7,33.2,399.71,1085.27,12.4,5.81,7.13
22.0,16.0,13.0,120.0,10.25,17.97,0.0,-77.14,622.9,1519.43,677.06,600.19,48.25,588.51,41.61,943.77,1822.62,10.99,5.0,8.31
46.0,20.0,20.0,93.0,12.79,1.63,4.83,-5.74,85.24,1368.71,1169.57,948.43,41.18,995.75,3.51,69.54,127.83,16.64,2.73,6.62
62.0,28.0,28.0,48.0,11.4,0.0,3.36,-18.33,48.7,856.64,1014.35,949.91,44.82,859.79,16.0,555.61,727.41,15.7,2.76,9.95
36.0,25.0,25.0,108.0,12.11,5.75,12.53,-12.74,260.36,1498.36,901.14,802.11,51.73,1162.97,10.71,265.34,329.85,15.98,2.79,5.67
29.0,23.0,24.0,87.0,13.21,5.9,7.59,-6.13,63.44,1137.4,762.81,844.24,50.08,509.83,1.08,282.61,323.99,14.26,2.72,6.69
36.0,19.0,18.0,94.0,10.14,15.06,0.97,-29.52,267.08,1433.0,665.82,656.81,44.62,1929.82,31.9,1123.71,2307.16,16.01,3.94,13.25
55.0,20.0,18.0,97.0,12.55,0.37,11.01,-13.33,191.01,1416.22,1065.73,952.57,25.49,1257.45,5.39,127.89,205.55,16.89,2.78,6.36
33.0,25.0,25.0,84.0,12.04,8.93,4.45,-16.34,149.9,1131.88,837.41,797.49,40.44,1456.11,10.01,327.28,494.94,16.23,2.59,6.94
3.0,18.0,18.0,55.0,13.95,17.09,1.01,-7.24,5.0,492.74,479.01,592.93,44.82,1731.08,1.37,451.58,509.04,8.63,2.61,8.6
45.0,21.0,21.0,61.0,12.75,2.0,2.31,-8.84,13.6,890.96,665.67,981.12,41.09,1491.06,2.51,285.28,397.34,15.97,2.53,9.1
15.0,19.0,19.0,109.0,11.94,25.41,6.22,-51.22,240.08,1096.01,600.24,593.08,51.6,1779.93,22.17,523.09,746.07,8.24,3.05,4.02
20.0,19.0,19.0,117.0,12.19,22.51,9.15,-18.41,227.57,1265.76,640.3,609.82,53.72,518.5,13.83,601.81,944.75,8.87,3.14,4.03
52.0,18.0,20.0,22.0,10.77,2.8,0.15,-35.43,6.34,473.16,93.48,742.98,44.88,603.8,27.59,628.15,1364.27,10.35,3.19,19.09
64.0,28.0,28.0,42.0,11.49,0.0,0.81,-27.86,16.48,721.39,980.51,981.86,44.42,1939.46,15.43,585.97,736.43,16.08,2.64,12.38
55.0,20.0,20.0,106.0,12.41,0.11,11.57,-9.31,184.91,1542.65,1056.92,969.23,39.0,788.11,4.12,110.49,169.39,16.44,2.76,5.92
13.0,7.0,7.0,58.0,9.68,63.1,0.09,-106.39,504.31,1011.19,398.19,442.46,29.78,1156.79,47.27,2078.14,3251.33,9.26,3.66,8.94
28.0,19.0,19.0,91.0,10.76,16.01,2.18,-30.62,168.82,1063.93,763.71,667.69,44.54,1195.01,26.85,656.68,1334.33,11.02,2.79,5.19
24.0,22.0,22.0,96.0,12.83,13.52,15.8,-9.58,91.16,1097.06,698.87,733.09,52.3,1001.52,8.06,272.03,407.6,9.96,2.73,4.71
20.0,24.0,24.0,88.0,12.83,11.88,8.16,-7.75,20.89,989.33,617.81,768.97,50.8,539.26,3.12,217.31,262.71,11.52,2.68,5.92
13.0,16.0,13.0,65.0,10.07,58.13,0.03,-59.18,437.23,1112.93,418.17,431.88,58.21,618.87,43.11,1736.04,2784.05,8.89,3.83,7.99
15.0,19.0,19.0,109.0,11.97,26.09,8.9,-54.71,234.09,1103.18,577.75,587.44,51.73,704.92,24.87,531.52,746.07,8.1,3.08,4.01
63.0,18.0,21.0,22.0,11.1,0.63,1.02,-63.04,3.36,484.06,304.25,855.85,35.69,1180.41,14.11,1407.6,2859.22,10.01,2.81,13.65
18.0,24.0,26.0,86.0,13.17,13.96,15.13,-7.84,66.84,960.62,665.0,731.67,65.15,1695.27,2.27,204.64,246.28,11.57,2.65,6.05
35.0,19.0,20.0,89.0,12.68,6.76,11.54,-12.14,121.24,1155.54,952.14,798.75,34.34,1431.36,6.3,121.83,201.0,12.66,2.64,5.83
20.0,17.0,16.0,308.0,11.02,20.84,2.37,-21.73,762.17,2427.61,519.61,572.11,53.73,1745.65,25.07,358.59,1122.57,10.22,6.04,6.84
10.0,9.0,8.0,123.0,11.15,39.39,3.25,-36.68,326.65,1188.65,555.55,503.1,51.64,905.09,13.25,375.7,1290.64,9.96,2.8,4.52
8.0,16.0,17.0,43.0,12.94,16.08,0.84,-33.74,3.1,410.81,343.45,598.35,46.19,1505.14,2.73,824.45,1051.46,7.05,2.62,9.41
