pet_mm_s01,cly_pc_sav,cly_pc_uav,ari_ix_sav,TOT_TWI,TOT_PRSNOW,TOT_POPDENS90,TOT_EWT,TOT_RECHG,TOT_PPT7100_ANN,TOT_AET,TOT_PET,TOT_SILTAVE,TOT_BASIN_AREA,TOT_BASIN_SLOPE,TOT_ELEV_MEAN,TOT_ELEV_MAX,TOT_Intensity,TOT_Wet,TOT_Dry
14.0,20.0,17.0,54.0,12.79,12.56,0.69,-57.23,35.43,513.51,285.42,656.17,23.63,27423.81,4.09,962.87,1861.3,8.66,2.61,8.58
7.0,19.0,20.0,30.0,12.11,19.44,0.47,-47.12,7.85,383.76,234.63,581.73,43.34,1795.91,7.79,980.88,1819.84,7.53,2.62,9.97
14.0,16.0,14.0,19.0,12.4,34.81,2.83,-40.4,180.66,446.41,183.66,486.09,40.38,4935.34,16.36,2170.83,4017.56,7.19,2.68,11.19
7.0,13.0,15.0,87.0,12.95,19.42,13.92,-11.79,82.99,838.37,563.07,574.88,51.23,1944.72,2.05,400.37,538.67,8.36,2.71,5.19
4.0,18.0,19.0,40.0,12.35,18.32,0.17,-35.61,5.03,373.75,361.15,584.81,46.34,1847.96,2.52,669.38,775.51,6.37,2.62,8.43
26.0,17.0,13.0,28.0,10.66,37.85,1.53,-51.38,164.76,625.81,426.52,494.95,39.99,8371.66,24.16,2485.3,4283.15,7.77,3.2,8.6
29.0,15.0,13.0,29.0,11.07,32.92,0.63,-49.09,50.02,544.53,377.64,483.39,41.49,5378.87,16.84,2476.21,3893.82,7.41,3.02,9.57
15.0,10.0,11.0,64.0,9.99,51.89,0.23,-61.51,205.04,789.56,305.11,340.16,39.83,1970.43,29.71,3330.45,4231.51,8.77,3.24,8.82
19.0,10.0,10.0,141.0,10.39,48.54,0.23,-42.55,768.12,1506.08,516.0,491.13,45.59,1226.46,22.41,1488.59,2759.77,10.91,5.01,9.12
17.0,20.0,20.0,25.0,12.13,35.37,0.07,-26.84,27.92,350.46,52.99,576.71,42.69,26436.89,9.71,1580.22,3179.87,6.0,3.01,10.53
13.0,17.0,17.0,121.0,10.49,31.29,9.12,-29.06,242.75,1113.82,665.1,536.8,57.73,1152.48,17.44,600.15,1232.96,10.46,2.85,4.42
14.0,13.0,12.0,47.0,9.72,54.21,0.35,-74.02,180.25,709.59,301.25,363.52,39.45,879.0,39.94,3317.36,4352.0,7.41,3.23,7.82
51.0,20.0,20.0,88.0,12.31,2.5,133.66,-17.67,329.13,1403.24,933.64,862.13,30.61,12074.05,8.53,299.99,1355.7,14.67,2.79,5.91
38.0,24.0,21.0,77.0,12.79,4.96,14.06,-20.19,6.52,563.28,417.97,826.27,40.49,37417.57,1.77,902.69,2649.04,12.11,2.47,10.92
22.0,18.0,19.0,110.0,12.3,17.63,195.35,-17.66,283.13,1210.75,636.43,706.96,52.34,746.28,7.65,149.11,321.25,12.15,2.74,5.02
20.0,8.0,6.0,128.0,11.97,27.79,91.98,-22.31,344.93,1273.28,589.32,624.12,43.4,1839.64,6.9,164.66,392.19,11.82,2.77,4.63
27.0,21.0,21.0,101.0,11.13,14.37,19.75,-39.07,194.54,1191.54,816.49,669.71,50.19,798.88,35.81,659.31,1078.27,8.8,3.03,4.37
30.0,22.0,14.0,16.0,10.25,58.05,40.4,-32.15,461.6,899.23,432.57,471.39,31.37,2744.31,19.27,2075.13,3315.48,12.7,3.44,13.26
14.0,18.0,18.0,109.0,11.05,27.67,12.76,-47.12,233.31,1104.66,544.78,558.98,51.89,1422.1,17.57,602.7,784.52,7.79,3.23,4.01
57.0,21.0,20.0,86.0,12.69,0.51,35.17,-11.62,237.74,1258.97,945.27,948.95,22.94,13718.25,4.01,162.95,410.69,14.81,2.74,6.33
